iter	Passed	Remaining
0	4	4492
1	22	11167
2	38	12894
3	58	14600
4	67	13429
5	76	12601
6	79	11319
7	85	10543
8	97	10730
9	109	10880
10	120	10840
11	132	10944
12	144	10991
13	158	11157
14	169	11130
15	182	11203
16	197	11444
17	210	11469
18	226	11699
19	235	11540
20	243	11331
21	257	11445
22	273	11601
23	286	11635
24	295	11535
25	299	11211
26	318	11466
27	331	11497
28	348	11681
29	359	11618
30	380	11888
31	396	12001
32	408	11968
33	432	12285
34	435	12012
35	439	11757
36	449	11691
37	461	11694
38	482	11880
39	489	11743
40	504	11795
41	509	11610
42	524	11675
43	528	11475
44	540	11480
45	542	11257
46	546	11073
47	558	11069
48	566	10987
49	568	10808
50	579	10788
51	583	10630
52	592	10595
53	606	10631
54	618	10627
55	631	10639
56	639	10587
57	649	10550
58	661	10542
59	673	10556
60	683	10521
61	686	10392
62	707	10520
63	733	10728
64	744	10710
65	780	11042
66	807	11245
67	831	11398
68	857	11567
69	905	12024
70	931	12190
71	949	12236
72	962	12221
73	988	12373
74	1004	12386
75	1019	12388
76	1042	12491
77	1066	12606
78	1089	12700
79	1114	12816
80	1138	12911
81	1166	13053
82	1193	13185
83	1222	13325
84	1239	13346
85	1259	13381
86	1278	13421
87	1297	13449
88	1324	13558
89	1331	13466
90	1360	13594
91	1366	13484
92	1392	13577
93	1411	13602
94	1420	13530
95	1444	13600
96	1465	13643
97	1485	13669
98	1499	13646
99	1526	13735
100	1538	13690
101	1558	13718
102	1575	13717
103	1597	13759
104	1611	13731
105	1623	13696
106	1635	13649
107	1653	13659
108	1677	13709
109	1690	13679
110	1707	13671
111	1728	13706
112	1745	13697
113	1758	13668
114	1771	13631
115	1790	13646
116	1803	13608
117	1824	13639
118	1837	13606
119	1861	13654
120	1886	13701
121	1898	13660
122	1939	13828
123	1958	13835
124	1971	13801
125	1990	13804
126	2008	13805
127	2024	13789
128	2046	13816
129	2060	13792
130	2072	13745
131	2088	13731
132	2102	13708
133	2128	13755
134	2140	13713
135	2156	13697
136	2175	13704
137	2181	13624
138	2195	13602
139	2207	13561
140	2229	13585
141	2248	13588
142	2268	13595
143	2300	13673
144	2317	13668
145	2366	13841
146	2376	13792
147	2417	13918
148	2432	13895
149	2457	13927
150	2478	13936
151	2493	13909
152	2521	13956
153	2539	13951
154	2555	13934
155	2583	13976
156	2606	13996
157	2619	13959
158	2636	13947
159	2671	14026
160	2695	14044
161	2700	13968
162	2724	13988
163	2741	13975
164	2764	13991
165	2778	13960
166	2787	13903
167	2806	13900
168	2829	13912
169	2843	13881
170	2857	13852
171	2870	13819
172	2883	13781
173	2897	13753
174	2907	13706
175	2921	13675
176	2931	13629
177	2940	13577
178	2951	13538
179	2965	13509
180	2974	13457
181	2992	13449
182	3007	13426
183	3012	13359
184	3048	13430
185	3059	13389
186	3078	13382
187	3097	13378
188	3117	13378
189	3130	13346
190	3151	13346
191	3168	13334
192	3188	13330
193	3196	13282
194	3220	13294
195	3238	13284
196	3247	13235
197	3263	13217
198	3278	13196
199	3293	13174
200	3304	13136
201	3317	13106
202	3330	13074
203	3343	13044
204	3354	13009
205	3364	12969
206	3376	12936
207	3389	12907
208	3400	12870
209	3412	12838
210	3424	12803
211	3438	12779
212	3449	12744
213	3455	12690
214	3467	12661
215	3480	12632
216	3490	12594
217	3499	12554
218	3509	12517
219	3520	12482
220	3531	12446
221	3540	12406
222	3547	12360
223	3555	12315
224	3560	12264
225	3571	12230
226	3580	12192
227	3588	12151
228	3595	12104
229	3606	12075
230	3616	12040
231	3621	11989
232	3631	11954
233	3643	11927
234	3653	11894
235	3665	11866
236	3675	11834
237	3685	11801
238	3695	11767
239	3705	11734
240	3714	11699
241	3723	11663
242	3731	11623
243	3740	11589
244	3748	11552
245	3757	11517
246	3766	11482
247	3774	11444
248	3782	11408
249	3788	11365
250	3798	11333
251	3808	11303
252	3812	11257
253	3820	11221
254	3828	11186
255	3837	11153
256	3846	11119
257	3856	11090
258	3862	11050
259	3871	11020
260	3878	10980
261	3883	10937
262	3894	10913
263	3904	10884
264	3912	10851
265	3918	10813
266	3927	10782
267	3932	10740
268	3943	10715
269	3950	10681
270	3960	10654
271	3969	10623
272	3976	10588
273	3984	10558
274	3988	10514
275	3995	10481
276	4005	10454
277	4014	10427
278	4023	10396
279	4031	10367
280	4040	10339
281	4048	10309
282	4060	10286
283	4067	10255
284	4075	10224
285	4083	10195
286	4091	10165
287	4098	10132
288	4107	10105
289	4114	10073
290	4120	10039
291	4129	10012
292	4138	9985
293	4146	9956
294	4150	9919
295	4160	9896
296	4169	9870
297	4176	9839
298	4184	9810
299	4191	9781
300	4197	9746
301	4208	9726
302	4216	9698
303	4225	9673
304	4234	9649
305	4241	9620
306	4249	9591
307	4256	9562
308	4263	9534
309	4273	9510
310	4279	9481
311	4288	9457
312	4298	9434
313	4306	9409
314	4316	9386
315	4323	9358
316	4338	9346
317	4347	9323
318	4357	9302
319	4374	9295
320	4384	9274
321	4404	9273
322	4414	9253
323	4428	9239
324	4442	9226
325	4449	9199
326	4457	9174
327	4467	9152
328	4475	9127
329	4485	9107
330	4496	9087
331	4504	9062
332	4513	9039
333	4520	9014
334	4529	8990
335	4537	8967
336	4547	8946
337	4556	8924
338	4565	8902
339	4573	8878
340	4581	8854
341	4590	8832
342	4599	8809
343	4607	8786
344	4617	8765
345	4625	8743
346	4633	8720
347	4643	8699
348	4656	8685
349	4667	8667
350	4678	8651
351	4688	8631
352	4699	8613
353	4709	8594
354	4718	8572
355	4728	8553
356	4739	8536
357	4747	8514
358	4756	8492
359	4765	8471
360	4773	8449
361	4782	8428
362	4790	8406
363	4798	8384
364	4805	8361
365	4813	8338
366	4822	8317
367	4830	8295
368	4838	8273
369	4851	8260
370	4859	8238
371	4870	8222
372	4877	8198
373	4885	8177
374	4893	8156
375	4902	8136
376	4912	8117
377	4919	8094
378	4927	8073
379	4933	8048
380	4942	8030
381	4947	8004
382	4954	7981
383	4965	7965
384	4974	7945
385	4982	7926
386	4990	7905
387	4999	7885
388	5005	7861
389	5017	7847
390	5028	7832
391	5036	7811
392	5044	7790
393	5055	7776
394	5067	7762
395	5074	7740
396	5082	7720
397	5090	7699
398	5101	7683
399	5109	7664
400	5117	7645
401	5127	7627
402	5141	7616
403	5149	7596
404	5157	7576
405	5165	7557
406	5175	7541
407	5181	7517
408	5189	7498
409	5197	7479
410	5205	7460
411	5211	7437
412	5216	7414
413	5225	7395
414	5233	7376
415	5244	7362
416	5250	7340
417	5261	7325
418	5267	7304
419	5281	7292
420	5289	7274
421	5298	7257
422	5305	7237
423	5316	7222
424	5328	7208
425	5335	7189
426	5343	7170
427	5353	7154
428	5363	7139
429	5370	7118
430	5380	7102
431	5386	7082
432	5392	7061
433	5402	7045
434	5407	7023
435	5419	7010
436	5425	6989
437	5443	6985
438	5450	6964
439	5460	6949
440	5473	6938
441	5490	6931
442	5497	6911
443	5506	6895
444	5512	6875
445	5526	6865
446	5532	6844
447	5544	6831
